Galaksi,Tip,YAY_logMb,YAY_elogMb,YAY_Vf,YAY_eVf,YAY_V2exp,YAY_eV2exp,YAY_V2eff,YAY_eV2eff,YAY_Vmax,YAY_eVmax,YAY_Wp20,YAY_eWp20,YAY_Wm50,YAY_eWm50,YAY_Wm50c,YAY_eWm50c,R_dis_kpc,Vbar_dis_kms,l_omega_kpc,l_om_bolu_R,TEORI_v_yalnizF4,TEORI_v_TAM,FARK_dex_TAM,LCDM_Vmax_kms
NGC3726,Sc,10.64,0.15,168.0,13.2,150.5,6.3,150.7,6.3,169.0,11.5,368.1,11.4,344.3,14.2,340.6,14.2,32.52,80.5,12.00,0.369,125.1,148.7,-0.053,169.3
NGC4013,Sb,10.64,0.16,172.9,7.5,195.0,3.0,195.0,3.0,198.0,10.0,409.1,7.0,399.1,16.0,397.1,16.0,31.01,81.9,12.00,0.387,125.1,149.5,-0.063,180.2
UGC06786,S0,10.64,0.24,219.4,9.8,220.0,6.3,220.0,8.4,229.0,6.1,487.3,13.4,476.2,22.6,470.6,22.5,34.05,78.5,12.00,0.352,125.1,147.7,-0.172,173.1
NGC2683,Sb,10.62,0.11,154.0,11.4,204.2,5.9,210.1,6.0,212.0,6.0,446.8,8.5,443.7,15.6,441.7,15.6,34.62,73.9,11.73,0.339,123.6,144.1,-0.029,181.8
NGC6946,Scd,10.61,0.28,158.9,14.8,177.2,9.4,177.8,8.0,181.0,9.0,396.3,19.0,0.0,0.0,0.0,0.0,20.40,94.3,11.59,0.568,122.9,154.9,-0.011,164.6
NGC7814,Sab,10.59,0.11,218.9,7.2,228.0,5.2,229.6,6.5,265.0,15.0,512.0,20.0,466.0,8.0,462.0,8.0,19.53,106.3,11.33,0.580,121.5,161.4,-0.132,174.5
NGC3877,Sc,10.58,0.16,168.4,6.2,160.7,5.3,171.0,5.0,171.0,5.0,370.0,7.2,366.9,18.1,359.2,18.1,11.35,137.5,11.20,0.987,120.8,183.1,+0.036,172.1
NGC3893,Sc,10.57,0.15,174.0,14.6,194.0,8.7,189.6,8.6,194.0,8.7,413.4,13.5,384.3,14.1,379.0,14.0,19.05,95.4,11.07,0.581,120.1,153.4,-0.055,156.1
NGC3198,Sc,10.53,0.11,150.1,4.7,145.1,2.8,155.6,3.2,157.0,3.2,335.7,7.3,322.6,9.5,318.4,9.5,44.08,64.7,10.57,0.240,117.4,134.1,-0.049,135.6
NGC4100,Sbc,10.53,0.15,158.2,8.2,173.8,6.5,192.0,4.4,195.0,6.4,422.5,10.1,405.7,9.1,400.5,9.1,22.76,84.0,10.57,0.465,117.4,144.4,-0.040,157.1
ESO079-G014,Sbc,10.48,0.24,175.0,4.8,167.9,3.7,176.3,3.7,178.0,3.6,400.4,9.8,381.0,18.2,376.9,18.2,16.67,96.7,9.98,0.599,114.1,149.6,-0.068,149.0
UGC08699,Sab,10.48,0.24,182.4,11.3,178.6,9.1,180.1,16.5,202.0,10.7,411.0,20.9,0.0,0.0,0.0,0.0,25.70,78.3,9.98,0.388,114.1,138.4,-0.120,147.5
NGC4138,S0,10.38,0.16,147.3,18.0,183.3,16.4,186.4,16.4,195.0,10.3,412.0,19.1,391.9,17.4,381.9,19.9,18.58,78.6,8.90,0.479,107.7,133.3,-0.043,141.3
NGC6015,Scd,10.38,0.27,154.1,8.1,149.0,3.8,149.0,5.0,166.0,7.1,361.4,8.8,354.5,10.7,351.0,10.7,29.23,62.5,8.90,0.304,107.7,124.5,-0.093,129.5
