full_name,diameter,rot_per,albedo,class,H,GM
   331 Etheridgea (A892 GA),74.92,25.315,0.0447,MBA,9.93,
   332 Siri (A892 FH),40.37,8.0074,0.1719,MBA,9.67,
   333 Badenia (A892 QA),72.199,9.862,0.047,MBA,9.57,
   334 Chicago (A892 QB),198.770,7.361,0.041,OMB,7.63,
   335 Roberta (A892 RB),97.109,12.054,0.049,MBA,9.08,
   336 Lacadiera (A892 SA),63.356,13.6958,0.054,MBA,9.94,
   337 Devosa (A892 SB),64.549,4.653,0.135,MBA,8.96,
   338 Budrosa (A892 SF),50.506,4.6084,0.276,MBA,8.59,
   339 Dorothea (A892 SC),44.329,5.974,0.198,MBA,9.40,
   340 Eduarda (A892 SD),28.025,8.0062,0.247,MBA,9.99,
   341 California (A892 SE),15.830,318,0.425,MBA,11.38,
   342 Endymion (A892 UA),64.266,6.319,0.035,MBA,10.23,
   343 Ostara (A892 VA),18.213,109.87,0.092,MBA,11.69,
   344 Desiderata (A892 WA),124.181,10.747,0.067,MBA,8.28,
   345 Tercidina (A892 WB),90.243,12.371,0.052,MBA,9.04,
   346 Hermentaria (A892 WC),86.447,28.523,0.332,MBA,7.31,
   347 Pariana (A892 WD),48.615,4.0529,0.190,MBA,8.97,
   348 May (A892 WE),82.82,7.3812,0.0448,MBA,9.58,
   349 Dembowska (A892 XB),139.77,4.701,0.3840,MBA,5.97,
   350 Ornamenta (A892 XC),128.729,9.178,0.048,MBA,8.45,
   351 Yrsa (A892 YA),39.720,13.29,0.286,MBA,9.16,
   352 Gisela (A893 AB),26.744,7.49,0.195,MBA,10.11,
   353 Ruperto-Carola (A893 BB),14.025,2.73898,0.392,MBA,10.93,
   354 Eleonora (A893 BC),148.970,4.277,0.201,MBA,6.17,
   355 Gabriella (A893 BD),24.040,4.83,0.341,MBA,10.28,
   356 Liguria (A893 BE),145.503,31.701,0.065,MBA,8.37,
   357 Ninina (A893 CB),124.107,35.983,0.037,MBA,8.97,
   358 Apollonia (A893 EC),90.116,50.6,0.050,MBA,9.12,
   359 Georgia (A893 ED),43.89,5.537,0.2621,MBA,9.40,
   360 Carlova (A893 EE),129.125,6.183,0.043,MBA,8.49,
   361 Bononia (A893 EF),154.334,13.835,0.038,OMB,8.36,
   362 Havnia (A893 EG),98,16.92,0.052,MBA,9.10,
   363 Padua (A893 FD),97,8.401,0.059,MBA,9.03,
   364 Isara (A893 FE),25.901,9.156,0.300,MBA,9.91,
   365 Corduba (A893 FF),86.773,12.705,0.050,MBA,9.20,
