KIC,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,flag1,flag2,flag3,flag4
11294540,4965.1,89.4,84.9,4.618,0.025,0.033,0.714,0.035,0.034,26.12,2.25,6995,,1,0,
11294665,6011.0,188.0,229.0,4.55,0.044,0.176,0.937,0.109,0.109,12.01,1.38,10345,,2,,
11348033,5623.8,88.5,85.7,4.55,0.015,0.02,0.908,0.028,0.032,6.31,0.48,46011,,1,0,
11242290,5712.5,103.3,101.5,4.451,0.033,0.042,0.961,0.058,0.069,31.67,6.09,1873,,1,0,
11242184,5087.6,85.2,80.2,4.573,0.021,0.031,0.803,0.032,0.045,17.11,1.27,21622,,1,0,
11295112,5582.5,118.9,113.2,4.134,0.055,0.054,0.967,0.075,0.069,3.54,0.25,36655,1,1,0,
11242176,5997.1,119.7,114.1,4.31,0.049,0.05,1.079,0.074,0.079,17.22,1.52,3961,,1,0,
11294980,5886.3,116.7,104.8,4.183,0.035,0.04,1.15,0.065,0.084,29.44,5.11,2608,,1,0,
11348768,5786.0,94.9,95.5,4.51,0.02,0.03,0.93,0.035,0.047,21.37,2.3,4271,,1,0,
11348526,5700.6,89.6,87.9,4.441,0.025,0.036,1.063,0.044,0.056,24.04,2.72,4005,,1,0,
11294849,5286.6,85.5,75.5,4.322,0.041,0.039,0.864,0.041,0.03,15.97,1.34,29248,,1,0,
11348189,5311.8,88.0,84.5,4.562,0.015,0.024,0.879,0.026,0.035,25.94,2.62,1691,,1,0,
11348126,5625.2,111.0,108.0,4.355,0.047,0.046,0.94,0.074,0.069,31.47,1.97,2575,,1,0,
11348356,6050.4,119.3,115.5,3.977,0.051,0.039,1.124,0.103,0.07,17.74,1.37,348,,1,0,
11400603,6056.5,103.7,100.5,4.438,0.021,0.031,1.051,0.038,0.053,8.91,0.69,33225,,1,0,
11026612,5120.3,82.0,77.1,4.569,0.018,0.029,0.837,0.029,0.04,15.1,1.13,67671,,1,0,
11080965,5949.8,102.5,101.1,4.42,0.029,0.039,1.068,0.049,0.059,17.37,2.73,917,,1,0,
11080961,6686.4,137.4,139.7,4.213,0.031,0.031,1.32,0.06,0.047,4.04,0.64,2640,,3,0,
11081060,6495.6,148.8,127.1,4.245,0.03,0.032,1.275,0.058,0.053,4.52,0.37,4017,,1,0,
11134641,5642.0,118.9,114.6,3.519,0.06,0.059,1.621,0.104,0.11,26.67,2.36,1894,,1,0,
11134412,5373.3,98.3,98.4,4.506,0.033,0.042,0.873,0.051,0.061,21.36,1.89,8505,,1,0,
11080883,6292.9,130.8,135.3,4.167,0.036,0.031,1.313,0.057,0.057,9.42,0.83,7666,,1,0,
11080797,5666.4,119.6,113.7,3.973,0.07,0.063,1.083,0.083,0.078,1.03,0.07,3371,,1,0,
11134350,5459.1,92.3,89.9,4.526,0.021,0.032,0.906,0.036,0.048,37.4,5.52,4741,,1,0,
11080711,5530.6,90.7,81.7,4.533,0.016,0.025,0.924,0.029,0.039,7.87,0.57,52182,,1,0,
11134089,5219.0,97.9,90.0,4.494,0.045,0.045,0.84,0.054,0.051,28.05,2.44,9662,,1,0,
11134013,5534.5,114.7,110.5,3.89,0.171,0.147,1.088,0.168,0.129,27.61,3.43,3538,,1,,
11134150,6394.2,129.0,120.1,4.054,0.033,0.037,1.268,0.053,0.09,3.92,0.51,863,,1,0,
11134381,6215.4,124.5,113.2,4.019,0.032,0.037,1.353,0.063,0.091,22.23,1.38,98,,1,0,
11134418,5470.7,114.9,109.6,4.021,0.065,0.061,0.976,0.07,0.07,10.16,0.76,41933,,1,0,
11134368,6244.8,118.2,121.3,4.314,0.031,0.032,1.215,0.056,0.065,8.24,1.3,1001,,1,0,
11134447,5407.7,106.9,93.3,4.36,0.053,0.046,0.879,0.064,0.05,23.51,1.6,9825,,1,0,
11187126,6052.1,119.4,115.1,4.331,0.041,0.041,0.994,0.071,0.068,22.68,2.76,1449,,1,0,
11187180,5752.7,100.7,95.8,4.459,0.029,0.04,0.97,0.052,0.067,21.38,1.77,519,,1,0,
11187247,5903.3,114.5,107.6,4.279,0.038,0.041,1.055,0.071,0.072,24.0,3.64,4387,,1,0,
11187309,6054.6,121.5,123.4,3.834,0.057,0.04,1.298,0.158,0.064,6.91,0.89,1831,,1,0,
11240828,6148.2,113.2,115.5,4.314,0.038,0.043,1.135,0.068,0.078,9.16,1.01,5294,,1,0,
11134629,5702.5,94.9,95.4,4.46,0.028,0.037,0.988,0.048,0.061,20.78,2.69,2946,,1,0,
11187716,5468.2,124.5,114.0,4.078,0.043,0.035,1.049,0.06,0.052,11.14,0.66,2431,,1,0,
11187782,6791.5,143.3,144.8,4.114,0.032,0.031,1.461,0.076,0.066,1.99,0.23,2708,,2,0,
11241551,6186.8,109.2,107.0,4.406,0.024,0.033,1.092,0.042,0.057,10.23,0.96,5355,,1,0,
11241464,6597.7,146.4,136.2,4.209,0.03,0.029,1.296,0.054,0.046,1.29,0.21,2447,,3,0,
11241412,5829.9,116.9,112.5,4.114,0.054,0.054,1.034,0.094,0.072,23.53,1.81,51,,1,0,
11241285,4730.8,76.3,70.9,4.583,0.024,0.023,0.732,0.034,0.032,8.92,0.66,120115,,1,0,
11241296,5797.1,112.9,109.3,4.381,0.089,0.123,0.989,0.078,0.076,37.36,4.69,1071,,1,,
11187491,5309.8,102.0,95.5,4.552,0.025,0.035,0.831,0.039,0.051,24.37,2.15,2479,,1,0,
11187393,5397.3,106.8,100.1,4.362,0.06,0.056,0.948,0.059,0.057,28.54,2.99,5908,,1,0,
11240963,6729.7,139.1,142.1,4.119,0.033,0.031,1.449,0.075,0.065,3.38,0.42,2513,,3,0,
11240979,5631.8,107.1,102.6,4.235,0.039,0.041,1.027,0.071,0.068,21.78,1.94,11298,,1,0,
11241000,5418.9,120.2,125.6,4.52,0.051,0.078,0.86,0.058,0.056,14.37,1.43,12568,,1,,
11293985,5936.0,141.0,159.0,4.331,0.195,0.195,0.824,0.114,0.061,20.77,2.46,3505,,2,,
11293944,5565.9,102.8,101.6,4.421,0.045,0.049,0.923,0.068,0.069,16.24,2.29,1556,,1,0,
11133840,5832.7,95.5,93.5,4.49,0.02,0.03,0.981,0.036,0.046,17.09,1.51,14844,,1,0,
11187057,5222.1,81.7,73.1,4.414,0.027,0.021,0.809,0.035,0.025,1.84,0.13,112848,1,1,0,
11186837,5934.1,111.2,113.8,4.108,0.042,0.045,1.09,0.099,0.077,1.82,0.13,95859,1,1,0,
11186813,5806.0,106.7,104.9,4.419,0.039,0.047,0.986,0.061,0.067,13.5,1.31,11589,,1,0,
11240313,5438.8,93.8,94.7,4.522,0.025,0.036,0.903,0.04,0.049,16.92,1.84,1004,,1,0,
11187088,6063.4,103.2,103.6,4.377,0.026,0.036,1.125,0.051,0.065,11.82,1.13,2579,,1,0,
11187109,4914.4,115.4,85.0,3.408,0.069,0.07,1.544,0.218,0.195,118.92,10.21,106816,,2,0,
11240612,6654.9,133.9,124.8,4.364,0.022,0.028,1.206,0.035,0.043,16.6,1.41,221,,1,0,
11240720,5745.2,106.4,103.4,4.432,0.036,0.044,0.973,0.062,0.072,16.54,1.96,1389,,1,0,
11240657,5826.9,122.8,119.4,4.297,0.15,0.225,1.022,0.126,0.096,16.49,1.37,1219,,1,,
11240667,5513.8,114.4,107.2,4.264,0.067,0.066,0.915,0.069,0.061,25.21,2.57,7689,,1,0,
11240404,5382.9,92.1,90.7,4.548,0.021,0.032,0.877,0.033,0.043,27.19,2.1,9576,,1,0,
11240423,6309.9,119.8,112.3,4.362,0.028,0.035,1.156,0.049,0.06,16.63,1.56,1424,,1,0,
11240418,5361.1,109.2,102.7,4.497,0.044,0.054,0.868,0.055,0.059,32.33,4.79,15300,,1,0,
11240544,5740.0,116.6,111.9,4.239,0.069,0.069,0.998,0.081,0.077,16.53,1.81,4350,,1,0,
11240531,6017.9,110.0,109.8,4.469,0.036,0.047,0.954,0.048,0.052,15.73,2.45,23591,,1,0,
11186706,6263.0,169.0,188.0,4.345,0.117,0.143,0.97,0.135,0.101,16.17,1.16,6621,,2,,
11186775,6023.0,114.6,115.4,3.988,0.054,0.044,1.173,0.124,0.071,1.76,0.12,28944,1,1,0,
