Table 2 
Fitted Model Parameters


Galaxy	angl0x _0angr0	e	e _env	D (Mpc)	i (deg)	Upsi_gas	Upsi_disk	Upsi_bulge	
UGC03580	-10.262	$-{0.045}_{-0.011}^{+0.011}$	${0.023}_{-0.001}^{+0.004}$	${15.18}_{-1.24}^{+1.38}$	${67.11}_{-3.54}^{+3.58}$	${1.51}_{-0.13}^{+0.14}$	${0.47}_{-0.05}^{+0.06}$	${0.15}_{-0.02}^{+0.02}$	
UGC04278	-11.272	$-{0.164}_{-0.038}^{+0.033}$	${0.032}_{-0.004}^{+0.005}$	${5.89}_{-0.89}^{+0.97}$	${88.01}_{-2.18}^{+1.40}$	${1.38}_{-0.12}^{+0.13}$	${0.37}_{-0.07}^{+0.08}$	cdots	
UGC04325	-10.656	${0.354}_{-0.125}^{+0.100}$	${0.031}_{-0.002}^{+0.006}$	${13.64}_{-2.01}^{+2.31}$	${43.99}_{-2.69}^{+2.73}$	${1.25}_{-0.11}^{+0.12}$	${1.07}_{-0.17}^{+0.20}$	cdots	
UGC04483	-11.284	${0.153}_{-0.049}^{+0.061}$	${0.032}_{-0.003}^{+0.005}$	${3.37}_{-0.29}^{+0.31}$	${58.97}_{-2.95}^{+2.94}$	${1.37}_{-0.12}^{+0.13}$	${0.48}_{-0.09}^{+0.11}$	cdots	
UGC04499	-11.102	${0.121}_{-0.076}^{+0.107}$	${0.035}_{-0.004}^{+0.005}$	${13.43}_{-2.69}^{+3.56}$	${51.41}_{-2.88}^{+2.89}$	${1.38}_{-0.12}^{+0.13}$	${0.49}_{-0.08}^{+0.09}$	cdots	
UGC05005	-11.701	${0.149}_{-0.087}^{+0.125}$	${0.022}_{-0.002}^{+0.004}$	${51.72}_{-8.86}^{+10.54}$	${52.66}_{-8.71}^{+8.76}$	${1.42}_{-0.13}^{+0.14}$	${0.39}_{-0.07}^{+0.08}$	cdots	
UGC05253	-9.707	${0.058}_{-0.009}^{+0.009}$	${0.027}_{-0.001}^{+0.004}$	${20.87}_{-1.94}^{+2.22}$	${52.15}_{-2.98}^{+3.05}$	${1.40}_{-0.12}^{+0.13}$	${0.30}_{-0.03}^{+0.04}$	${0.39}_{-0.03}^{+0.03}$	
UGC05414	-11.019	${0.083}_{-0.095}^{+0.132}$	${0.032}_{-0.002}^{+0.009}$	${9.03}_{-2.07}^{+2.73}$	${55.52}_{-2.96}^{+2.98}$	${1.40}_{-0.12}^{+0.14}$	${0.42}_{-0.08}^{+0.10}$	cdots	
UGC05716	-11.440	${0.091}_{-0.028}^{+0.035}$	${0.040}_{-0.004}^{+0.011}$	${22.21}_{-3.08}^{+3.80}$	${65.58}_{-7.10}^{+7.60}$	${1.25}_{-0.10}^{+0.11}$	${0.86}_{-0.09}^{+0.10}$	cdots	
UGC05721	-10.917	${0.048}_{-0.030}^{+0.034}$	${0.033}_{-0.004}^{+0.006}$	${10.10}_{-1.36}^{+1.61}$	${67.74}_{-4.21}^{+4.28}$	${1.39}_{-0.12}^{+0.14}$	${0.51}_{-0.09}^{+0.11}$	cdots	
UGC05750	-11.469	${0.151}_{-0.067}^{+0.097}$	${0.024}_{-0.003}^{+0.004}$	${62.77}_{-10.27}^{+12.27}$	${72.30}_{-7.93}^{+7.85}$	${1.37}_{-0.12}^{+0.13}$	${0.55}_{-0.11}^{+0.13}$	cdots	
UGC05764	-11.191	${0.390}_{-0.086}^{+0.073}$	${0.033}_{-0.003}^{+0.009}$	${14.73}_{-1.80}^{+1.98}$	${74.46}_{-6.70}^{+6.79}$	${1.10}_{-0.09}^{+0.10}$	${2.66}_{-0.29}^{+0.33}$	cdots	
UGC05829	-11.263	${0.128}_{-0.163}^{+0.237}$	${0.035}_{-0.005}^{+0.007}$	${6.81}_{-1.62}^{+1.96}$	${41.90}_{-9.29}^{+9.07}$	${1.27}_{-0.11}^{+0.12}$	${0.69}_{-0.17}^{+0.18}$	cdots	
UGC05918	-11.581	${0.046}_{-0.064}^{+0.087}$	${0.036}_{-0.003}^{+0.005}$	${7.47}_{-1.82}^{+2.47}$	${48.80}_{-4.87}^{+4.86}$	${1.33}_{-0.12}^{+0.13}$	${0.59}_{-0.12}^{+0.15}$	cdots	
UGC05986	-10.836	$-{0.016}_{-0.036}^{+0.037}$	${0.033}_{-0.002}^{+0.009}$	${12.87}_{-1.97}^{+2.34}$	${88.04}_{-2.13}^{+1.37}$	${1.49}_{-0.13}^{+0.15}$	${0.37}_{-0.06}^{+0.08}$	cdots	
UGC06399	-11.019	$-{0.002}_{-0.044}^{+0.051}$	${0.036}_{-0.003}^{+0.007}$	${18.58}_{-2.21}^{+2.52}$	${75.24}_{-1.98}^{+1.98}$	${1.37}_{-0.12}^{+0.13}$	${0.54}_{-0.10}^{+0.12}$	cdots	
UGC06446	-11.165	${0.154}_{-0.067}^{+0.093}$	${0.035}_{-0.003}^{+0.006}$	${17.45}_{-3.02}^{+3.84}$	${54.18}_{-2.78}^{+2.79}$	${1.28}_{-0.11}^{+0.12}$	${0.91}_{-0.12}^{+0.15}$	cdots	
UGC06614	-10.336	$-{0.066}_{-0.036}^{+0.035}$	${0.020}_{-0.002}^{+0.003}$	${82.51}_{-7.43}^{+8.17}$	${31.00}_{-2.82}^{+3.15}$	${1.42}_{-0.12}^{+0.14}$	${0.47}_{-0.09}^{+0.11}$	${0.57}_{-0.11}^{+0.13}$	
